Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,The Greater Washington Jewish Coalition Against Domestic Abuse (JCADA),THE GREATER WASHINGTON JEWISH COALITION AGAINST DOMESTIC ABUSE (JCADA),20847,2018,12981.12,SERVICE*TRAINING*OFFICERS*PROSECUTORS (STOP) VIOLENCE AGAINST WOMEN FORMULA GRANT PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND ENTERPRISE INVESTMENT/CHALLENGE PROGRAMS  AND FUND,HEALTHIFY INC.,HEALTHIFY INC.,10013,2014,100000,CHALLENGE INVESTMENTS,GRANT,1,06/30/2014 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"TurnAround, Inc. (Baltimore County)","TURNAROUND, INC.",21286,2017,376739,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/EE L&M INCOME COMMUNITY GRANTS,Arc Baltimore - Baltimore County,ARC BALTIMORE - BALTIMORE COUNTY,21212-1528,2013,100000,ENERGY EFFICIENCY UPGRADES,GRANT,1,06/30/2013 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/OTHER INSTITUTIONS,ALICE FERGUSON FOUNDATION INC,ALICE FERGUSON FOUNDATION,20607,2010,53486,ALICE FERGUSON FOUNDATION,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING,CHILDRENS CENTER GROUP AT WALKERSVILLE,CHILDREN'S CENTER OF WALKERSVILLE LLC,21793,2014,73189.01,HOYER,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,Garrett Brothers,GARRETT BROTHERS,21601,2009,57822,COVER CROP,GRANT,1,06/30/2009 12:00:00 AM
CHILD WELFARE SERVICES,"SAN MAR CHILDREN'S HOME, INC.","SAN MAR CHILDREN'S HOME, INC.",21713,2018,543365.23,FUNDS THE TREATMENT FOSTER CARE PROGRAM.,GRANT,1,06/30/2018 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY,TALMUDICAL ACADEMY,TALMUDICAL ACADEMY,21208,2014,70104.02,UASI NONPROFIT SECURITY GRANT PROGRAM FFY12,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/LMI COMMUNITY GRANTS,Diversified Housing Development - Baltimore County,"DIVERSIFIED HOUSING DEVELOPMENT, INC.",21244-3125,2014,150000,ENERGY EFFICIENCY GRANTS FOR EFFICIENCY UPGRADES IN THE LOW AND MODERATE INCOME SECTOR.,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/EE L&M INCOME COMMUNITY GRANTS,Visions America Community Development,VISIONS AMERICA COMMUNITY DEVELOPMENT,21613-2809,2013,50000,ENERGY EFFICIENCY UPGRADES,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - FILM PRODUCTION CREDIT PROGRAM,Knight Takes King Productions LLC,KNIGHT TAKES KING PRODUCTIONS LLC,90212,2015,7500000,"FILM PRODUCTION GRANT FOR ""HOUSE OF CARDS""",GRANT,1,06/30/2015 12:00:00 AM
BOARDS AND COMMISSIONS/HOSPITAL BASED DOMESTIC VIOLENCE,"Sinai Hospital of Baltimore, Inc.","SINAI HOSPITAL OF BALTIMORE, INC.",21215,2014,60790.85,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE - PREVENTION AND HEALTH PROMOTION ADMINISTRATION,Children's National Medical Center,CHILDREN'S NATIONAL MEDICAL CENTER,20010,2015,126368,MEDICAL GENETICS & SYSTEMS DEVELOPMENT,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/RHPP HARRY &JEANETTE WEINBERG,Bethai Co & Capitol,BETHAI CO & CAPITOL,21401,2014,114253,RENTAL HOUSING PRODUCTION PROGRAM (RHPP) HARRY & JEANETTE WEINBERG,LOAN,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC,RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC,20877-4131,2014,318618.94,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/LEAD POISONING PREVENTION,"Coalition End Childhood Lead Poisoning, Inc.","COALITION END CHILDHOOD LEAD POISONING, INC.",21224,2012,165123.73,LEAD POISONING PREVENTION GRANT,GRANT,1,06/30/2012 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/STATE AIDED EDUCATIONAL INSTITUTIONS,OLNEY THEATRE CENTER,OLNEY THEATRE CENTER FOR THE ARTS,20832,2016,125586,STATE AIDED INSTITUTIONS,GRANT,1,06/30/2016 12:00:00 AM
BOARDS AND COMMISSIONS/COMMUNITY CONFERENCING,"Conflict Resolution Center of Baltimore County, Inc.","CONFLICT RESOLUTION CENTER OF BALTIMORE COUNTY, INC.",21221,2014,58575,JUVENILE ACCOUNTABILITY BLOCK GRANTS PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,EXCELLENT START LEARNING CENTER,EXCELLENT START LEARNING CENTER,21244,2013,4511,CASH FOR COMMOD - CHILD CARE,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,THE LITERACY LAB,THE LITERACY LAB,20001,2017,75000,PREKINDERGARTEN EXPANSION PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD BIOTECHNOLOGY CENTER,"CORDEX SYSTEMS,INC.","CORDEX SYSTEMS,INC.",21403,2014,100000,BIOTECHNOLOGY CENTER GRANT - TRANSLATIONAL RESEARCH AWARD,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,EVERYMAN THEATRE INC,"EVERYMAN THEATRE, INC.",21201-5801,2011,96175,GRANTS TO ARTS ORGANIZATIONS,GRANT,1,06/30/2011 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/STUDENTS WITH DISABILITIES,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC,21660,2010,152073,NON- PUBLIC PLACEMENTS,GRANT,1,06/30/2010 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Family & Children's Services of Central MD,FAMILY & CHILDREN'S SERVICES OF CENTRAL MARYLAND,21209-4914,2011,96161,CHILD ABUSE TREATMENT SERVICES,GRANT,1,06/30/2011 12:00:00 AM
PHOTOVOLTAIC (PV) IN PARKING LOTS GRANTS PROGRAM,Frederick Memorial Hospital,FREDERICK MEMORIAL HEALTHCARE SYSTEM,21701,2018,200000,GRANTS TO SUPPORT THE INSTALLATION OF SOLAR PHOTOVOLTAIC (PV) PARKING CANOPIES THROUGHOUT MARYLAND,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/PREVENTION AND DISEASE CONTROL,James Lawrence Kernan Hospital,JAMES LAWRENCE KERNAN HOSPITAL,21207,2011,750000,MONTEBELLO SUBSIDY,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD STATE ARTS COUNCIL  -,GARRETT CO ARTS COUNCIL,GARRETT CO ARTS COUNCIL,21550,2012,81295,COMMUNITY ARTS DEVELOPMENT,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF,EA ENGINEERING SCIENCE & TECHNOLOGY INC,EA ENGINEERING SCIENCE & TECHNOLOGY INC,21031,2014,200000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND,LOAN,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/CLEAN CITIES/HYBRID TRUCK,Efficiency Enterprises,EFFICIENCY ENTERPRISES,21226-1600,2011,176189,HYBRID TRUCKS,GRANT,1,06/30/2011 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY (MEMA),MARYLAND STATE FIREMEN'S ASSOCIATION,MARYLAND STATE FIREMEN'S ASSOCIATION,21401,2017,350000,MSFA WIDOWS & ORPHANS GRANT,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/ASSIST TO STATE FOR ED STUDENTS W/DISABILITIES,SPECIAL OLYMPICS MARYLAND,SPECIAL OLYMPICS MARYLAND,21090,2013,93000,IDEA-PART B - STATE GRANTS DISCRETIONARY,GRANT,1,06/30/2013 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/HEAD START,Anne Arundel County Economic Opportunity Comm Inc,ANNE ARUNDEL COUNTY ECONOMIC OPPORTUNITY COMM INC,21401,2009,126996,HEAD START,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARYLAND AGRICULTURAL COST SHARE (CAPITAL - BONDS),"VINH, MINH",MINH VINH,21853,2009,69909,INSTALL BEST MGMT PRACTICE (BMP) ON FARM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,WILLIAM T MOORE JR,WILLIAM T MOORE JR,21028,2014,70626.5,"COVER CROP PROGRAM GRANT, CREP PROGRAM",GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/PHOTOVOLTAIC (PV) IN PARKING LOTS GRANTS PROGRAM,Wor-Wic Canopy,WOR-WIC CANOPY,21811,2016,120000,PV SOLAR CANOPY OVER AN EXISTING PARKING LOT TO POWER EV CHARGERS,GRANT,1,06/30/2016 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","Family Crisis Center, Inc. of Prince George's County","FAMILY CRISIS CENTER, INC. OF PRINCE GEORGE'S COUNTY",20722,2016,46270.83,DOMESTIC VIOLENCE PROTECTION PROGRAM,GRANT,1,06/30/2016 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","Family Crisis Resource Center, Inc.",FAMILY CRISIS RESOURCE CENTER,21502,2016,113969.67,VICTIMS OF CRIME ACT,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/C&I DEEP ENERGY RETROFIT PROGRAM,369 LLC,369 LLC,20850,2017,123230,IMPLEMENT ENERGY CONSERVATION MEASURES,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/DORS - HEADQUARTERS,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,21613,2012,217624,PROGRAM DEVELOPMENT,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HUMAN SERVICES/CHILD WELFARE SERVICES,EASTERN SHORE PSYCHOLOGICAL SERVICES LLC,"EASTERN SHORE PSYCHOLOGICAL SERVICES, LLC",21801,2017,139478.01,FUNDS ARE USED TO PROVIDE HOME VISITING SERVICES TO NEW PARENTS WITH INTENSIVE AND LONG-TERM NEEDS FOR FAMILIES THAT ARE AT HIGH RISK FOR CHILD ABUSE AND NEGLECT.,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/STUDENTS WITH DISABILITIES,CENTER FOR SCHOOL MENTAL HEALTH ASSISTANCE,CENTER FOR SCHOOL MENTAL HEALTH ASSISTANCE,21201,2017,325933,STUDENTS WITH DISABILITIES - NONPUBLIC PLACEMENTS,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,"GEOSE HAVEN ENTERPRISES, LLC","GEOSE HAVEN ENTERPRISES, LLC",21620,2011,55203,COVER CROP,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/BAY RESTORATION FUND - SEPTIC SYSTEMS,Canaan Valley Institute,CANAAN VALLEY INSTITUTE,26260,2012,492896.25,SEPTIC SYSTEM UPGRADE PROGRAM - VENDOR REIMBURSEMENT,GRANT,1,06/30/2012 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY (MEMA),PLEASANT VALLEY VFC,PLEASANT VALLEY FARMS,21158,2017,282568,VOLUNTEER COMPANY ASSISTANCE FUND,LOAN,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Rape Crisis Intervention Service of Carroll County,"RAPE CRISIS INTERVENTION SVC OF CARROLL COUNTY, INC.",21158,2017,48873,SEXUAL ASSAULT RAPE CRISIS,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/DIV OF REHABILITATION SERVICES-HQ,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,21613,2011,222294.5,INDEPENDENT LIVING,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/FORECLOSURE MEDIATION,SMTCCAC INC,SMTCCAC INC,20637,2017,119401,FORECLOSURE MEDIATION,GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Mid-Shore Council on Family Violence,MID-SHORE COUNCIL ON FAMILY VIOLENCE,21601,2017,12175,LEGAL SERVICES FOR CRIME VICTIMS,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,St John's College,ST. JOHN'S COLLEGE,21404-2800,2010,613501,SELLINGER FORMULA,GRANT,1,06/30/2010 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Key Bridge Foundation,KEY BRIDGE FOUNDATION CENTER FOR CONFLICT RESOLUTION,20015,2014,90397,DIVERSION IN DELINQUENCY CASES,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,"Avalon Foundation, Inc.","AVALON FOUNDATION, INC.",71607,2010,63039,GRANT FUNDING FOR ARTS ORGANIZATIONS,GRANT,1,06/30/2010 12:00:00 AM
RESOURCE CONSERVATION GRANTS,RONALD E LOVE,RONALD E LOVE,21629,2018,59686,COVER CROP,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS/ANNE ARUNDEL ABUSE COUNSELING CENTER,Family & Children's Services of Central MD,FAMILY & CHILDREN'S SERVICES OF CENTRAL MARYLAND,21209,2014,169941.52,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,BALTIMORE METROPOLITAN COUNCIL,BALTIMORE METROPOLITAN COUNCIL,21230-4767,2013,6080938,MPO REQUIREMENTS,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF PLANNING/HERITAGE AREAS AUTHORITY,"Heritage Tourism Alliance of Montgomery County, Inc.","HERITAGE TOURISM ALLIANCE OF MONTGOMERY COUNTY, INC.",20876,2016,109825,"FY 2015 & FY 2016 MARYLAND HERITAGE AREAS AUTHORITY  - FY 2015 & FY 2016 OPERATING ASSISTANCE GRANTS FOR OPERATING ASSISTANCE TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREA MANAGEMENT PLAN. FY 2015 FUNDING TO SUPPORT THE 18TH ANNUAL HERITAGE DAYS WEEKEND, A  FREE-OF-CHARGE FESTIVAL HIGHLIGHTING HISTORIC AND CULTURAL EVENTS AT OVER 30 OUTDOOR RECREATION SITES ACROSS MONTGOMERY COUNTY.  FY2016 TO SECURE CONTRACTUAL AND IN-KIND PROFESSIONAL GRAPHIC DESIGN, RESEARCH, AND WRITING SERVICES, AND OBTAIN ARTWORK LICENSING TO  PRODUCE 5,000 COPIES EACH OF THREE BROCHURES HIGHLIGHTING AFRICAN AMERICAN HERITAGE IN MONTGOMERY COUNTY INCLUDING: 1. THE UNDERGROUND RAILROAD, 2. CROSSROADS AND CULTURES, AND 3. AFRICAN AMERICAN AND QUAKER HISTORY.",GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,WINDRIDGE FARM LLC,WINDRIDGE FARM LLC,21710,2017,51453,COVER CROP,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/DATA CENTER ENERGY EFFICIENCY PILOT PROGRAM,Kaiser Permanente DCEEG Grant,KAISER PERMANENTE DCEEG GRANT,20904,2017,200000,DEVELOPMENT OF EE PROGRAM INITIATIVES FOR DATA CENTERS TO ENCOURAGE BUSINESS DEVELOPMENT IN MARYLAND,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE - CONSERVATION GRANTS,Holloway Brothers,HOLLOWAY BROTHERS,21811 - 2220,2015,72910.5,COVER CROP,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/MARYLAND COMMUNITY HEALTH RESOURCES COMMISSION,"Southern Maryland Vocational Industries, Inc.","SOUTHERN MARYLAND VOCATIONAL INDUSTRIES, INC.",20747,2013,50000,DDA INFRASTRUCTURE SERVICES,GRANT,1,06/30/2013 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Family Crisis Resource Center, Inc.",FAMILY CRISIS RESOURCE CENTER,21502,2018,169950.29,DOMESTIC VIOLENCE PREVENTION,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/STATE LAND ACQUISITION,Wright Constable & Skeen,WRIGHT CONSTABLE & SKEEN,21201,2013,129976.8,CASSELMAN BASIN - CUNNINGHAM SWAMP ACQ,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/OFFICE OF BUSINESS DEVELOPMENT,TRI-CO COUNCIL FOR WESTERN MD,TRI-CO COUNCIL FOR WESTERN MD,21532,2013,156900,REGIONAL ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,Chesapeake Bay Trust,CHESAPEAKE BAY TRUST,21401,2017,362885,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BEST MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)","SEXUAL ASSAULT/SPOUSE ABUSE RESOURCE CENTER, INC. (SARC)",21014,2017,4167,REIMBURSABLE FUNDS FROM DHMH FOR SARC - RAPE CRISIS INTERVENTION,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Family Crisis Center of Baltimore County, Inc.","FAMILY CRISIS CENTER OF BALTIMORE COUNTY, INC.",21222,2011,37263.56,VICTIMS OF DOMESTIC VIOLENCE INTERVENTIONS,GRANT,1,06/30/2011 12:00:00 AM
"DEPARTMENT OF LABOR, LICENSING AND REGULATION/DIVISION OF WORKFORCE DEVELOPMENT AND ADULT LEARNING - AID TO EDUCATION",Baltimore Reads Inc,BALTIMORE READS INC,21202,2013,197296.7,"THE ADULT EDUCATION AND FAMILY LITERACY ACT (AEFLA), ENACTED AS TITLE II OF THE WORKFORCE INVESTMENT ACT (WIA) OF 1998, IS THE PRINCIPAL SOURCE OF FEDERAL SUPPORT FOR ADULT BASIC AND LITERACY EDUCATION PROGRAMS FOR ADULTS WHO LACK BASIC SKILLS, A HIGH SCHOOL DIPLOMA, OR PROFICIENCY IN ENGLISH.",GRANT,1,06/30/2013 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/DIV OF CAREER TECHNOLOGY & ADULT LEARNIN,Us Hispanic Youth Entrepreneur & Educ,US HISPANIC YOUTH ENTREPRENEUR & EDUC,21230,2009,100000,CAREER TECHNOLOGY,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/ASSIST TO STATE FOR ED STUDENTS W/DISABI,MARYLAND FAMILY NETWORK,"MARYLAND FAMILY NETWORK, INC.",212024364,2014,163171,IDEA-PART B & C,GRANT,1,06/30/2014 12:00:00 AM
OPERATING GRANTS-IN-AID,Wilmington Area Planning Council,WILMINGTON AREA PLANNING COUNCIL,19711-0000,2018,93597.37,MPO REQUIREMENTS,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF COMMERCE/MD STATE ARTS COUNCIL,NATL COUNCIL FOR THE TRADITIONAL ARTS,NATL COUNCIL FOR THE TRADITIONAL ARTS,20910,2016,113836,MD STATE ARTS COUNCIL - FOLKLIFE GRANT,GRANT,1,06/30/2016 12:00:00 AM
ELECTRIC VEHICLE SUPPLY EQUIPMENT (EVSE) REBATE PROGRAM,Electric Vehicle Institute,ELECTRIC VEHICLE INSTITUTE,21239,2018,405000,REBATES FOR THE PURCHASE AND INSTALLATION OF ELECTRIC VEHICLE SUPPLY EQUIPMENT (EVSES) IN MD,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES - OFFICE OF GRANTS MANAGEMENT,Food & Friends Inc,"FOOD & FRIENDS, INC.",20011,2015,840625,FUNDS ARE USED TO PROVIDE NUTRITIONAL  SERVICES TO PERSONS LIVING WITH HIV/AIDS.,GRANT,1,06/30/2015 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Southern Maryland Center for Family Advocacy,SOUTHERN MARYLAND CENTER FOR FAMILY ADVOCACY,20636,2009,100914,LEGAL SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/STATE LAND ACQUISITION,Wright Constable & Skeen,WRIGHT CONSTABLE & SKEEN,21201,2012,123947.57,FRAZEE RES MGT - KASECAMP RD PROP ACQ,GRANT,1,06/30/2012 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,CASA of Montgomery County,CASA OF MONTGOMERY COUNTY,20851,2009,171010,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2009 12:00:00 AM
MILITARY DEPARTMENT/URBAN AREA SECURITY IMITATIVE FEDERAL GRANT,TEMPLE OHEB SHALOM,TEMPLE OHEB SHALOM,21208,2009,70950,ANTI-TERRORISM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/NUTRIENT MANAGEMENT,H WATSON POWELL SR,H. WATSON POWELL SR,21841-2232,2014,80643.4,"COVER CROP PROGRAM GRANT, NUTRIENT MGT GRANT",GRANT,1,06/30/2014 12:00:00 AM
FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIP / LIFESTYLES OF MD,COACH & EQUIP / LIFESTYLES OF MD,20646-4319,2018,96000,COACH & EQUIP - SMALL BUS,GRANT,1,06/30/2018 12:00:00 AM
GOVERNOR'S OFFICE OF COMMUNITY INITIATIVES,Playworks Education Energized,PLAYWORKS EDUCATION ENERGIZED,94607,2018,143187.58,AMERICORPS STATE SERVICE FUNDING,GRANT,1,06/30/2018 12:00:00 AM
RURAL MARYLAND COUNCIL,TRI-CO COUNCIL FOR WESTERN MD,TRI-CO COUNCIL FOR WESTERN MD,21532,2018,211133,GRANTS TO NON-GOV ENTITIES,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,Center for Watershed Protection,CENTER FOR WATERSHED PROTECTION,21043,2014,51605.92,GREAT MILLS HIGH SCHOOL STORMWATER POND RETROFIT,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,Young Audiences of Maryland,"YOUNG AUDIENCES OF MARYLAND, INC.",21202,2009,167784.34,GRANT FUNDING FOR ORGANIZATIONS AND COMMUNITY ARTS DEVELOPMENT PROGRAMS.,GRANT,1,06/30/2009 12:00:00 AM
"STATE DEPARTMENT OF EDUCATION/OFFICE OF THE SECRETARY - GENERAL ADMINISTRATION [GRANT TITLE - ""SUPPORTING EX-OFFENDERS IN EMPLOYMENT, TRAINING, AND TRANSITIONAL SERVICES"" (SEETTS)]","Goodwill Industries of the Chesapeake, Inc.","GOODWILL INDUSTRIES OF THE CHESAPEAKE, INC.",21202,2010,250000,"CAREER AND SKILLS ASSESSMENTS, COGNITIVE-BASED EMPLOYMENT READINESS CLASSES, PLACEMENT AND RETENTION",GRANT,1,06/30/2010 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Anne Arundel County Mental Health Agency, Inc..","ANNE ARUNDEL COUNTY MENTAL HEALTH AGENCY, INC.",21401,2018,79898,BYRNE - JUSTICE ASSISTANCE GRANT (JAG) PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
"DEPARTMENT OF  LABOR, LICENSING AND REGULATION/ADULT EDUCATION  AND FAMILY LITERACY ACT (AEFLA)",Literacy Council of Montgomery County,LITERACY COUNCIL OF MONTGOMERY COUNTY,20850,2017,124109,"THE ADULT EDUCATION AND FAMILY LITERACY ACT (AEFLA), ENACTED AS TITLE II OF THE WORKFORCE INVESTMENT ACT (WIA) OF 1998, IS THE PRINCIPAL SOURCE OF FEDERAL SUPPORT FOR ADULT BASIC AND LITERACY EDUCATION PROGRAMS FOR ADULTS WHO LACK BASIC SKILLS, A HIGH SCHOOL DIPLOMA, OR PROFICIENCY IN ENGLISH.",GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MANURE TRANSPORT,PERDUE AGRIRECYCLE LLC,"PERDUE AGRIRECYCLE, LLC",19973,2014,333052.99,MANURE TRANSPORT PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
